QueryType,SchemaName,TableCount,TableName,TableType
Table Details,cdwwork_adr,0,ADREnrollHistory,VIEW
Table Details,cdwwork_aemsmers,0,equipmentinventory,VIEW
Table Details,cdwwork_aemsmers,0,EquipmentInventoryHistory,VIEW
Table Details,cdwwork_aemsmers,0,EquipmentInventoryShop,VIEW
Table Details,cdwwork_aemsmers,0,EquipmentInventoryShopFrequency,VIEW
Table Details,cdwwork_aemsmers,0,FADocumentLog,VIEW
Table Details,cdwwork_aemsmers,0,FADocumentLogComment,VIEW
Table Details,cdwwork_aemsmers,0,FBDocumentLog,VIEW
Table Details,cdwwork_aemsmers,0,FBDocumentLogComment,VIEW
Table Details,cdwwork_aemsmers,0,FCDocumentLog,VIEW
Table Details,cdwwork_aemsmers,0,FCDocumentLogComment,VIEW
Table Details,cdwwork_aemsmers,0,FDDocumentLog,VIEW
Table Details,cdwwork_aemsmers,0,FDDocumentLogComment,VIEW
Table Details,cdwwork_aemsmers,0,FRDocumentLog,VIEW
Table Details,cdwwork_aemsmers,0,FRDocumentLogComment,VIEW
Table Details,cdwwork_aemsmers,0,InventoryRequest,VIEW
Table Details,cdwwork_aemsmers,0,InventoryRequestLineItem,VIEW
Table Details,cdwwork_aemsmers,0,ITAssignment,VIEW
Table Details,cdwwork_aemsmers,0,TurnInRequest,VIEW
Table Details,cdwwork_aemsmers,0,TurnInRequestItem,VIEW
Table Details,cdwwork_aemsmers,0,WorkOrder,VIEW
Table Details,cdwwork_aemsmers,0,WorkOrderAction,VIEW
Table Details,cdwwork_aemsmers,0,WorkOrderAssignedTechnician,VIEW
Table Details,cdwwork_aemsmers,0,WorkOrderComment,VIEW
Table Details,cdwwork_allergy,0,AllergicReaction,VIEW
Table Details,cdwwork_allergy,0,AllergicReactionAssessment,VIEW
Table Details,cdwwork_allergy,0,AllergicReactionReport,VIEW
Table Details,cdwwork_allergy,0,Allergy,VIEW
Table Details,cdwwork_allergy,0,AllergyComment,VIEW
Table Details,cdwwork_allergy,0,AllergyDrugClass,VIEW
Table Details,cdwwork_allergy,0,AllergyDrugIngredient,VIEW
Table Details,cdwwork_anticoag,0,Flowsheet,VIEW
Table Details,cdwwork_anticoag,0,FlowsheetActivity,VIEW
Table Details,cdwwork_appt,0,Appointment,VIEW
Table Details,cdwwork_appt,0,Appointment_Recent,VIEW
Table Details,cdwwork_appt,0,AppointmentMultiple,VIEW
Table Details,cdwwork_appt,0,AppointmentRequest,VIEW
Table Details,cdwwork_appt,0,RecallReminder,VIEW
Table Details,cdwwork_appt,0,RemovedRecallReminders,VIEW
Table Details,cdwwork_appt,0,VSEAppointment,VIEW
Table Details,cdwwork_appt,0,VSEAppointmentCheckInStatus,VIEW
Table Details,cdwwork_appt,0,VSEAppointmentContact,VIEW
Table Details,cdwwork_appt,0,VSEAppointmentRequest,VIEW
Table Details,cdwwork_appt,0,VSEDateTimeOfContact,VIEW
Table Details,cdwwork_appt,0,VSEMRTCCalcPrefDate,VIEW
Table Details,cdwwork_appt,0,VSEMultipleAppointmentsMade,VIEW
Table Details,cdwwork_appt,0,VSEPIDHistory,VIEW
Table Details,cdwwork_appt,0,VSEPrerequisite,VIEW
Table Details,cdwwork_appt,0,VSEVSAudit,VIEW
Table Details,cdwwork_appt,0,WaitList,VIEW
Table Details,cdwwork_basecamp,0,customer,BASE TABLE
Table Details,cdwwork_basecamp,0,customerauthorization,BASE TABLE
Table Details,cdwwork_basecamp,0,doexcatalog,BASE TABLE
Table Details,cdwwork_basecamp,0,researchworkgroup,BASE TABLE
Table Details,cdwwork_basecamp,0,task,BASE TABLE
Table Details,cdwwork_basecamp,0,utilityaccountpermission,BASE TABLE
Table Details,cdwwork_basecamp,0,workgroup,BASE TABLE
Table Details,cdwwork_basecamp,0,workgroupclearance,BASE TABLE
Table Details,cdwwork_basecamp,0,workgroupmembership,BASE TABLE
Table Details,cdwwork_basecamp,0,workgrouppermission,BASE TABLE
Table Details,cdwwork_bcma,0,BCMAAdditive,VIEW
Table Details,cdwwork_bcma,0,BCMADispensedDrug,VIEW
Table Details,cdwwork_bcma,0,BCMADispensedDrug_Recent,VIEW
Table Details,cdwwork_bcma,0,BCMAMedicationLog,VIEW
Table Details,cdwwork_bcma,0,BCMAMedicationLog_Recent,VIEW
Table Details,cdwwork_bcma,0,BCMAMedicationVariance,VIEW
Table Details,cdwwork_bcma,0,BCMAMissingDoseRequest,VIEW
Table Details,cdwwork_bcma,0,BCMASolution,VIEW
Table Details,cdwwork_bcma,0,BCMAUnableToScan,VIEW
Table Details,cdwwork_bcma,0,BCMAUnableToScanDrug,VIEW
Table Details,cdwwork_benetravel,0,Certification,VIEW
Table Details,cdwwork_benetravel,0,Claim,VIEW
Table Details,cdwwork_chem,0,LabChem,VIEW
Table Details,cdwwork_chem,0,LabChem_Recent,VIEW
Table Details,cdwwork_chem,0,LabPanel,VIEW
Table Details,cdwwork_chem,0,OrderedLabPanel,VIEW
Table Details,cdwwork_chem,0,PatientLabChem,VIEW
Table Details,cdwwork_con,0,Consult,VIEW
Table Details,cdwwork_con,0,Consult_Recent,VIEW
Table Details,cdwwork_con,0,ConsultActivity,VIEW
Table Details,cdwwork_con,0,ConsultActivity_Recent,VIEW
Table Details,cdwwork_con,0,ConsultFactor,VIEW
Table Details,cdwwork_cprsorder,0,CancelledOrderChecks,VIEW
Table Details,cdwwork_cprsorder,0,CancelledOrderChecksText,VIEW
Table Details,cdwwork_cprsorder,0,CancelledOrderData,VIEW
Table Details,cdwwork_cprsorder,0,CancelledOrdersAndOrderChecks,VIEW
Table Details,cdwwork_cprsorder,0,CancelledOrdersOrderableItems,VIEW
Table Details,cdwwork_cprsorder,0,CPRSOrder,VIEW
Table Details,cdwwork_cprsorder,0,CPRSOrder_Recent,VIEW
Table Details,cdwwork_cprsorder,0,OrderAction,VIEW
Table Details,cdwwork_cprsorder,0,OrderAction_Recent,VIEW
Table Details,cdwwork_cprsorder,0,OrderCheckInstance,VIEW
Table Details,cdwwork_cprsorder,0,OrderCheckMessage,VIEW
Table Details,cdwwork_cprsorder,0,OrderCheckOverrideReason,VIEW
Table Details,cdwwork_cprsorder,0,OrderedItem,VIEW
Table Details,cdwwork_cprsorder,0,OrderedItem_Recent,VIEW
Table Details,cdwwork_cprsorder,0,OrderIntervention,VIEW
Table Details,cdwwork_crp,0,OrderCheckRuleGroup,VIEW
Table Details,cdwwork_crp,0,OrderCheckRuleGroupRuleList,VIEW
Table Details,cdwwork_crp,0,ReminderCategory,VIEW
Table Details,cdwwork_crp,0,ReminderCategoryIndividualReminder,VIEW
Table Details,cdwwork_crp,0,ReminderCategorySubCategory,VIEW
Table Details,cdwwork_crp,0,ReminderDefEditHistory,VIEW
Table Details,cdwwork_crp,0,ReminderDefinition,VIEW
Table Details,cdwwork_crp,0,ReminderDialog,VIEW
Table Details,cdwwork_crp,0,ReminderFindingType,VIEW
Table Details,cdwwork_crp,0,ReminderOrderCheckRule,VIEW
Table Details,cdwwork_crp,0,ReminderReport,VIEW
Table Details,cdwwork_crp,0,ReminderReportDue,VIEW
Table Details,cdwwork_crp,0,ReminderReportPatient,VIEW
Table Details,cdwwork_crp,0,ReminderResolution,VIEW
Table Details,cdwwork_crp,0,ReminderSponsor,VIEW
Table Details,cdwwork_crp,0,ReminderSponsorContact,VIEW
Table Details,cdwwork_crp,0,ReminderTaxonomy,VIEW
Table Details,cdwwork_crp,0,ReminderTaxonomyCodeList,VIEW
Table Details,cdwwork_crp,0,ReminderTaxonomyCodingSystem,VIEW
Table Details,cdwwork_crp,0,ReminderTaxonomyDialogCodingSystem,VIEW
Table Details,cdwwork_crp,0,ReminderTerm,VIEW
Table Details,cdwwork_crp,0,ReminderTermFinding,VIEW
Table Details,cdwwork_dental,0,DentalAlerts,VIEW
Table Details,cdwwork_dental,0,DentalEncounter,VIEW
Table Details,cdwwork_dental,0,DentalEncounterEvent,VIEW
Table Details,cdwwork_dental,0,DentalEncounterEventDetail,VIEW
Table Details,cdwwork_dental,0,DentalExamDiagnosis,VIEW
Table Details,cdwwork_dental,0,DentalFeeBasis,VIEW
Table Details,cdwwork_dental,0,DentalHeadNeckDescription,VIEW
Table Details,cdwwork_dental,0,DentalParafunctionalClinicalFindings,VIEW
Table Details,cdwwork_dental,0,DentalParafunctionalNotes,VIEW
Table Details,cdwwork_dental,0,DentalPatient,VIEW
Table Details,cdwwork_dental,0,DentalPeriodontalNotes,VIEW
Table Details,cdwwork_dental,0,DentalPeriodontalNullNotes,VIEW
Table Details,cdwwork_dental,0,dentalperiodonticnotes,VIEW
Table Details,cdwwork_dental,0,DentalRemarks,VIEW
Table Details,cdwwork_dental,0,DentalSocialHistoryNotes,VIEW
Table Details,cdwwork_dental,0,DentalTreatment,VIEW
Table Details,cdwwork_dental,0,DentalTreatmentPlanNotes,VIEW
Table Details,cdwwork_dental,0,dentaltreatmentplannotetype,VIEW
Table Details,cdwwork_dental,0,DentalTreatmentPlanReserve,VIEW
Table Details,cdwwork_dental,0,DentalTreatmentPlanReserveTransaction,VIEW
Table Details,cdwwork_dental,0,DeviceTracking,VIEW
Table Details,cdwwork_dental,0,DeviceTrackingDetail,VIEW
Table Details,cdwwork_dental,0,TMJClinicalFindings,VIEW
Table Details,cdwwork_dental,0,TMJNotes,VIEW
Table Details,cdwwork_dim,0,abusedsubstance,VIEW
Table Details,cdwwork_dim,0,AccessionArea,VIEW
Table Details,cdwwork_dim,0,AccessioningInstitution,VIEW
Table Details,cdwwork_dim,0,ActivityType,VIEW
Table Details,cdwwork_dim,0,AdministrationSchedule,VIEW
Table Details,cdwwork_dim,0,AdministrationScheduleWard,VIEW
Table Details,cdwwork_dim,0,AdministrativeActivitySite,VIEW
Table Details,cdwwork_dim,0,AdministrativeActivitySiteType,VIEW
Table Details,cdwwork_dim,0,AdminScheduleDrugsForDosingChkFreq,VIEW
Table Details,cdwwork_dim,0,admitregulation,VIEW
Table Details,cdwwork_dim,0,AdmitSource,VIEW
Table Details,cdwwork_dim,0,agency,VIEW
Table Details,cdwwork_dim,0,AmbulanceReasonCode,VIEW
Table Details,cdwwork_dim,0,AnatomicPhantomType,VIEW
Table Details,cdwwork_dim,0,AnatomicTargetRegion,VIEW
Table Details,cdwwork_dim,0,anesthesiasupervisorcode,VIEW
Table Details,cdwwork_dim,0,Antibiotic,VIEW
Table Details,cdwwork_dim,0,AppointmentStatus,VIEW
Table Details,cdwwork_dim,0,AppointmentType,VIEW
Table Details,cdwwork_dim,0,AppointmentTypeDescription,VIEW
Table Details,cdwwork_dim,0,ARCategory,VIEW
Table Details,cdwwork_dim,0,ARDebtList,VIEW
Table Details,cdwwork_dim,0,ARDebtor,VIEW
Table Details,cdwwork_dim,0,ARGroup,VIEW
Table Details,cdwwork_dim,0,ARGroupType,VIEW
Table Details,cdwwork_dim,0,ARTransactionType,VIEW
Table Details,cdwwork_dim,0,asaclass,VIEW
Table Details,cdwwork_dim,0,AssociatedStopCode,VIEW
Table Details,cdwwork_dim,0,attendingcode,VIEW
Table Details,cdwwork_dim,0,AutoDiscontinuedRule,VIEW
Table Details,cdwwork_dim,0,AVReason,VIEW
Table Details,cdwwork_dim,0,bedsection,VIEW
Table Details,cdwwork_dim,0,BeneTravelAccount,VIEW
Table Details,cdwwork_dim,0,BodySystem,VIEW
Table Details,cdwwork_dim,0,BodySystemDisabilityCondition,VIEW
Table Details,cdwwork_dim,0,BranchOfService,VIEW
Table Details,cdwwork_dim,0,BudgetObjectCode,VIEW
Table Details,cdwwork_dim,0,CALMLogBatchType,VIEW
Table Details,cdwwork_dim,0,cancellationreason,VIEW
Table Details,cdwwork_dim,0,CAPRICustomExamList,VIEW
Table Details,cdwwork_dim,0,CAPRICustomExamListType,VIEW
Table Details,cdwwork_dim,0,CAPRIRoutingPlace,VIEW
Table Details,cdwwork_dim,0,CatastrophicDisabilityReason,VIEW
Table Details,cdwwork_dim,0,CensusPeriod,VIEW
Table Details,cdwwork_dim,0,ClinicalProcedure,VIEW
Table Details,cdwwork_dim,0,ClinicalTerm,VIEW
Table Details,cdwwork_dim,0,clinicaltermform,VIEW
Table Details,cdwwork_dim,0,ClinicalTermType,VIEW
Table Details,cdwwork_dim,0,ClinicGroup,VIEW
Table Details,cdwwork_dim,0,CollectionMethod,VIEW
Table Details,cdwwork_dim,0,CollectionSample,VIEW
